White, Black, Winner, White Random Moves, Black Random Moves, All Moves
Random, Random, Draw, 0, 0, 232
Random, Random, Draw, 0, 0, 309
Random, Random, Random, 0, 0, 87
Random, Random, Draw, 0, 0, 301
Random, Random, Draw, 0, 0, 338
gpt-3.5-turbo-0125, Random, Draw, 0, 0, 620
gpt-3.5-turbo-0125, Random, Draw, 0, 0, 537
gpt-3.5-turbo-0125, Random, Draw, 3, 0, 441
gpt-3.5-turbo-0125, Random, Draw, 1, 0, 702
gpt-3.5-turbo-0125, Random, Random, 0, 0, 198
Llama2-7b-chat, Random, Draw, 0, 0, 564
Llama2-7b-chat, Random, Draw, 0, 0, 568
Llama2-7b-chat, Random, Random, 0, 0, 406
Llama2-7b-chat, Random, Draw, 1, 0, 524
Llama2-7b-chat, Random, Draw, 10, 0, 708
flan-t5-base, Random, Random, 0, 0, 466
flan-t5-base, Random, Random, 0, 0, 446
flan-t5-base, Random, Draw, 0, 0, 688
flan-t5-base, Random, Draw, 0, 0, 517
flan-t5-base, Random, Draw, 0, 0, 296
flan-t5-large, Random, Draw, 0, 0, 412
flan-t5-large, Random, Draw, 0, 0, 414
flan-t5-large, Random, Draw, 0, 0, 320
flan-t5-large, Random, Draw, 1, 0, 619
flan-t5-large, Random, Random, 0, 0, 114
Gemma-7b, Random, Draw, 0, 0, 733
Gemma-7b, Random, Draw, 0, 0, 666
Gemma-7b, Random, Random, 0, 0, 76
Gemma-7b, Random, Draw, 0, 0, 552
Gemma-7b, Random, Draw, 0, 0, 578
Mistral, Random, Draw, 15, 0, 510
Mistral, Random, Random, 3, 0, 124
Mistral, Random, Draw, 3, 0, 351
Mistral, Random, Mistral, 8, 0, 229
Mistral, Random, Draw, 14, 0, 596
flan-t5-xl, Random, Draw, 0, 0, 359
flan-t5-xl, Random, Draw, 0, 0, 524
flan-t5-xl, Random, Draw, 0, 0, 629
flan-t5-xl, Random, Draw, 0, 0, 559
flan-t5-xl, Random, Draw, 0, 0, 298
flan-t5-xxl, Random, Draw, 0, 0, 400
flan-t5-xxl, Random, Draw, 0, 0, 404
flan-t5-xxl, Random, Draw, 0, 0, 621
flan-t5-xxl, Random, Draw, 0, 0, 521
flan-t5-xxl, Random, Draw, 0, 0, 819
gpt-4-turbo, Random, Draw, 0, 0, 566
gpt-4-turbo, Random, Draw, 0, 0, 406
gpt-4-turbo, Random, Draw, 0, 0, 446
gpt-4-turbo, Random, gpt-4-turbo, 0, 0, 21
gpt-4-turbo, Random, Draw, 0, 0, 578
Llama2-70b-chat, Random, Draw, 3, 0, 548
Llama2-70b-chat, Random, Draw, 3, 0, 446
Llama2-70b-chat, Random, Draw, 5, 0, 624
Llama2-70b-chat, Random, Draw, 5, 0, 496
Llama3, Random, Draw, 6, 0, 427
Llama3, Random, Draw, 3, 0, 557
Llama3, Random, Draw, 2, 0, 499
Llama3, Random, Draw, 4, 0, 499
Llama3, Random, Draw, 2, 0, 413
